"","type","h","rho","Vinf","Vstall","a","Clmax","Cl","Cd","ClCd","theta","t","Eeng","Wb100","R","duration","Eduration","Rduration","PA","t_total","Eeng_total","R_total","Wb84_total","Vb"
"50","Take-off Ground Roll",0,1.225,43.6302834353968,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,22.5416227006415,8114984.17223094,8.11498417223094,681.101227823342,1.08250892312617,389703.212325422,46.7482307259915,360000,22.5416227006415,8114984.17223094,681.101227823342,10.1437302152887,0.00368862916919588
"51","Take-off Transition",0,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,1.16199579185425,0,0,0,0,0,0,0,360000,22.5416227006415,8114984.17223094,681.101227823342,10.1437302152887,0.00368862916919588
"52","Take-off Transition",0.87252252750981,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,1.16199579185425,0.943259760993321,339573.513957596,0.339573513957596,43.0165105192435,0.943259760993321,339573.513957596,43.0165105192435,360000,23.4848824616348,8454557.68618854,724.117738342586,10.5681971077357,0.00384298076644934
"53","Segment 1 - Climb",0.87252252750981,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,2.32399158370862,0,0,0,0,0,0,0,360000,23.4848824616348,8454557.68618854,724.117738342586,10.5681971077357,0.00384298076644934
"54","Segment 1 - Climb",10.668,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,2.32399158370862,5.29589777710442,1906523.19975759,1.90652319975759,241.365631556541,5.29589777710442,1906523.19975759,241.365631556541,360000,28.7807802387392,10361080.8859461,965.483369899127,12.9513511074327,0.0047095822208846
"55","2nd Segment Climb",10.668,1.22374586207442,47.6210559676612,39.6842133063844,340.259051705008,2.7,1.8699354105078,0.084548536361078,22.1167094190956,4.21047101008573,0,0,0,0,0,0,0,359741.966275252,28.7807802387392,10361080.8859461,965.483369899127,12.9513511074327,0.0047095822208846
"56","2nd Segment Climb",23.0293333333333,1.22229388343339,47.6493324054175,39.7077770045146,340.211597516503,2.7,1.86995880068595,0.0845502762744676,22.1165309338041,4.20072468740947,3.53852664218873,1272427.80930292,1.27242780930292,168.104529095292,3.53852664218873,1272427.80930292,168.104529095292,359443.128522209,32.319306880928,11633508.6952491,1133.58789899442,14.5418858690613,0.00528795849784048
"57","2nd Segment Climb",35.3906666666667,1.22084322314958,47.6776335300811,39.7313612750676,340.164136707958,2.7,1.86998210947487,0.0845520101552484,22.1163530712202,4.19098977160421,7.08314816152348,2545988.31664331,2.54598831664331,336.600714032438,3.54462151933474,1273560.50734039,168.496184937145,359144.455733845,35.8639284002627,12907069.2025894,1302.08408393156,16.1338365032368,0.00586684963754065
"58","2nd Segment Climb",47.752,1.21939388039336,47.7059593701035,39.7549661417529,340.116669276602,2.7,1.87000533708944,0.0845537380191783,22.1161758296871,4.18126625185998,10.6338839842987,3820685.43987712,3.82068543987712,505.489912588223,3.55073582277526,1274697.12323381,168.889198555785,358845.947865094,39.414664223038,14181766.3258233,1470.97328248735,17.7272079072791,0.00644625742082875
"59","2nd Segment Climb",60.1133333333333,1.21794585433541,47.7343099539767,39.7785916283139,340.069195219662,2.7,1.87002848374408,0.0845554598819823,22.1159992075516,4.1715541173766,14.1907536314386,5096523.11626737,5.09652311626737,674.773489260817,3.55686964713991,1275837.67639024,169.283576672595,358547.604870891,42.9715338701779,15457604.0022135,1640.25685915994,19.3220050027669,0.00702618363736977
"60","2nd Segment Climb",72.4746666666667,1.21649914414667,47.7626853102337,39.8022377585281,340.021714534363,2.7,1.87005154965271,0.0845571757593506,22.1158232031646,4.16185335736324,17.7537767191161,6373505.30261123,6.37350530261123,844.452815313797,3.56302308767745,1276982.18634386,169.67932605298,358249.426706167,46.5345569578554,16734586.1885574,1809.93618521292,20.9182327356967,0.00760663008570789
"61","2nd Segment Climb",84.836,1.2150537489984,47.7910854674483,39.8259045562069,339.974227217928,2.7,1.87007453502877,0.0845588856669397,22.1156478148804,4.15216396103942,21.3229729593768,7651635.97536815,7.65163597536815,1014.52926882052,3.56919624026067,1278130.67275692,170.07645350672,357951.413325858,50.103753198116,18012716.8613143,1980.01263871964,22.5158960766428,0.00818759857332467
"62","2nd Segment Climb",97.1973333333333,1.21360966806214,47.8195104542351,39.8495920451959,339.926733267577,2.7,1.87009744008525,0.0845605896203726,22.1154730410572,4.14248591763362,24.8983621607683,8930919.130789,8.930919130789,1185.00423470885,3.57538920139157,1279283.15542085,170.474965888338,357653.564684895,53.6791423995076,19292000.0167351,2150.48760460798,24.1150000209189,0.00876909091669778
